i1	V(n008)
1.000000000000000e-06	9.995037e-01
1.015468992433080e-06	1.000055e+00
1.031177274593055e-06	1.000600e+00
1.047128548050899e-06	1.001148e+00
1.063326571637161e-06	1.001696e+00
1.079775162327709e-06	1.002245e+00
1.096478196143185e-06	1.002793e+00
1.113439609062361e-06	1.003342e+00
1.130663397949639e-06	1.003890e+00
1.148153621496882e-06	1.004438e+00
1.165914401179831e-06	1.004987e+00
1.183949922229301e-06	1.005535e+00
1.202264434617412e-06	1.006084e+00
1.220862254059070e-06	1.006632e+00
1.239747763028943e-06	1.007180e+00
1.258925411794166e-06	1.007729e+00
1.278399719463022e-06	1.008277e+00
1.298175275049848e-06	1.008826e+00
1.318256738556406e-06	1.009374e+00
1.338648842069992e-06	1.009923e+00
1.359356390878524e-06	1.010471e+00
1.380384264602883e-06	1.011019e+00
1.401737418346768e-06	1.011568e+00
1.423420883864340e-06	1.012116e+00
1.445439770745925e-06	1.012665e+00
1.467799267622067e-06	1.013213e+00
1.490504643386194e-06	1.013762e+00
1.513561248436205e-06	1.014310e+00
1.536974515935269e-06	1.014858e+00
1.560749963092109e-06	1.015407e+00
1.584893192461110e-06	1.015955e+00
1.609409893262532e-06	1.016504e+00
1.634305842723134e-06	1.017052e+00
1.659586907437557e-06	1.017600e+00
1.685259044750748e-06	1.018149e+00
1.711328304161777e-06	1.018697e+00
1.737800828749371e-06	1.019246e+00
1.764682856619496e-06	1.019794e+00
1.791980722375329e-06	1.020343e+00
1.819700858609979e-06	1.020891e+00
1.847849797422286e-06	1.021439e+00
1.876434171956080e-06	1.021988e+00
1.905460717963242e-06	1.022536e+00
1.934936275390947e-06	1.023085e+00
1.964867789993462e-06	1.023633e+00
1.995262314968874e-06	1.024182e+00
2.026127012621137e-06	1.024730e+00
2.057469156047833e-06	1.025278e+00
2.089296130854033e-06	1.025827e+00
2.121615436892677e-06	1.026375e+00
2.154434690031876e-06	1.026924e+00
2.187761623949545e-06	1.027472e+00
2.221604091955804e-06	1.028021e+00
2.255970068843568e-06	1.028569e+00
2.290867652767765e-06	1.029117e+00
2.326305067153617e-06	1.029666e+00
2.362290662634453e-06	1.030214e+00
2.398832919019481e-06	1.030763e+00
2.435940447292017e-06	1.031311e+00
2.473621991638611e-06	1.031860e+00
2.511886431509570e-06	1.032408e+00
2.550742783711348e-06	1.032956e+00
2.590200204531313e-06	1.033505e+00
2.630267991895371e-06	1.034053e+00
2.670955587558973e-06	1.034602e+00
2.712272579332016e-06	1.035150e+00
2.754228703338154e-06	1.035699e+00
2.796833846309064e-06	1.036247e+00
2.840098047914202e-06	1.036795e+00
2.884031503126592e-06	1.037344e+00
2.928644564625223e-06	1.037892e+00
2.973947745234592e-06	1.038441e+00
3.019951720402001e-06	1.038989e+00
3.066667330713168e-06	1.039538e+00
3.114105584446744e-06	1.040086e+00
3.162277660168363e-06	1.040635e+00
3.211194909364806e-06	1.041183e+00
3.260868859118916e-06	1.041731e+00
3.311311214825893e-06	1.042280e+00
3.362533862951609e-06	1.042828e+00
3.414548873833583e-06	1.043377e+00
3.467368504525297e-06	1.043925e+00
3.521005201684500e-06	1.044474e+00
3.575471604506193e-06	1.045022e+00
3.630780547700993e-06	1.045570e+00
3.686945064519554e-06	1.046119e+00
3.743978389823789e-06	1.046667e+00
3.801893963205589e-06	1.047216e+00
3.860705432153790e-06	1.047764e+00
3.920426655270129e-06	1.048313e+00
3.981071705534948e-06	1.048861e+00
4.042654873623417e-06	1.049410e+00
4.105190671273053e-06	1.049958e+00
4.168693834703327e-06	1.050507e+00
4.233179328088180e-06	1.051055e+00
4.298662347082248e-06	1.051603e+00
4.365158322401630e-06	1.052152e+00
4.432682923460057e-06	1.052700e+00
4.501252062061305e-06	1.053249e+00
4.570881896148718e-06	1.053797e+00
4.641588833612746e-06	1.054346e+00
4.713389536157371e-06	1.054894e+00
4.786300923226349e-06	1.055443e+00
4.860340175990182e-06	1.055991e+00
4.935524741394770e-06	1.056540e+00
5.011872336272686e-06	1.057088e+00
5.089400951518052e-06	1.057636e+00
5.168128856325996e-06	1.058185e+00
5.248074602497687e-06	1.058733e+00
5.329257028811964e-06	1.059282e+00
5.411695265464595e-06	1.059830e+00
5.495408738576203e-06	1.060379e+00
5.580417174769921e-06	1.060927e+00
5.666740605819867e-06	1.061476e+00
5.754399373371523e-06	1.062024e+00
5.843414133735128e-06	1.062573e+00
5.933805862753231e-06	1.063121e+00
6.025595860743527e-06	1.063670e+00
6.118805757518168e-06	1.064218e+00
6.213457517480705e-06	1.064767e+00
6.309573444801879e-06	1.065315e+00
6.407176188675483e-06	1.065863e+00
6.506288748655516e-06	1.066412e+00
6.606934480075903e-06	1.066960e+00
6.709137099554053e-06	1.067509e+00
6.812920690579553e-06	1.068057e+00
6.918309709189303e-06	1.068606e+00
7.025328989730458e-06	1.069154e+00
7.134003750712497e-06	1.069703e+00
7.244359600749835e-06	1.070251e+00
7.356422544596346e-06	1.070800e+00
7.470218989273247e-06	1.071348e+00
