i_d	V(n003)
1.000000000000000e-10	6.652952e-01
1.015468992433080e-10	6.659345e-01
1.031177274593055e-10	6.665502e-01
1.047128548050899e-10	6.671762e-01
1.063326571637161e-10	6.678005e-01
1.079775162327709e-10	6.684238e-01
1.096478196143185e-10	6.690457e-01
1.113439609062361e-10	6.696665e-01
1.130663397949638e-10	6.702861e-01
1.148153621496882e-10	6.709046e-01
1.165914401179831e-10	6.715218e-01
1.183949922229301e-10	6.721381e-01
1.202264434617412e-10	6.727532e-01
1.220862254059070e-10	6.733673e-01
1.239747763028943e-10	6.739802e-01
1.258925411794166e-10	6.745922e-01
1.278399719463023e-10	6.752031e-01
1.298175275049848e-10	6.758131e-01
1.318256738556406e-10	6.764221e-01
1.338648842069992e-10	6.770300e-01
1.359356390878524e-10	6.776371e-01
1.380384264602883e-10	6.782432e-01
1.401737418346768e-10	6.788484e-01
1.423420883864340e-10	6.794527e-01
1.445439770745926e-10	6.800562e-01
1.467799267622067e-10	6.806586e-01
1.490504643386194e-10	6.812603e-01
1.513561248436206e-10	6.818612e-01
1.536974515935269e-10	6.824613e-01
1.560749963092109e-10	6.830605e-01
1.584893192461111e-10	6.836588e-01
1.609409893262532e-10	6.842565e-01
1.634305842723134e-10	6.848534e-01
1.659586907437557e-10	6.854495e-01
1.685259044750747e-10	6.860448e-01
1.711328304161777e-10	6.866394e-01
1.737800828749371e-10	6.872333e-01
1.764682856619496e-10	6.878265e-01
1.791980722375329e-10	6.884190e-01
1.819700858609978e-10	6.890109e-01
1.847849797422286e-10	6.896020e-01
1.876434171956080e-10	6.901925e-01
1.905460717963241e-10	6.907822e-01
1.934936275390946e-10	6.913714e-01
1.964867789993461e-10	6.919600e-01
1.995262314968873e-10	6.925479e-01
2.026127012621136e-10	6.931352e-01
2.057469156047832e-10	6.937220e-01
2.089296130854032e-10	6.943080e-01
2.121615436892677e-10	6.948936e-01
2.154434690031876e-10	6.954786e-01
2.187761623949544e-10	6.960630e-01
2.221604091955803e-10	6.966468e-01
2.255970068843567e-10	6.972302e-01
2.290867652767764e-10	6.978129e-01
2.326305067153617e-10	6.983952e-01
2.362290662634452e-10	6.989769e-01
2.398832919019480e-10	6.995581e-01
2.435940447292017e-10	7.001388e-01
2.473621991638611e-10	7.007191e-01
2.511886431509569e-10	7.012988e-01
2.550742783711347e-10	7.018781e-01
2.590200204531312e-10	7.024568e-01
2.630267991895369e-10	7.030352e-01
2.670955587558972e-10	7.036130e-01
2.712272579332015e-10	7.041904e-01
2.754228703338153e-10	7.047674e-01
2.796833846309063e-10	7.053440e-01
2.840098047914200e-10	7.059201e-01
2.884031503126591e-10	7.064958e-01
2.928644564625221e-10	7.070711e-01
2.973947745234590e-10	7.076460e-01
3.019951720402000e-10	7.082204e-01
3.066667330713166e-10	7.087945e-01
3.114105584446742e-10	7.093682e-01
3.162277660168362e-10	7.099415e-01
3.211194909364805e-10	7.105144e-01
3.260868859118915e-10	7.110870e-01
3.311311214825892e-10	7.116592e-01
3.362533862951607e-10	7.122310e-01
3.414548873833581e-10	7.128025e-01
3.467368504525295e-10	7.133737e-01
3.521005201684498e-10	7.139444e-01
3.575471604506191e-10	7.145149e-01
3.630780547700991e-10	7.150850e-01
3.686945064519552e-10	7.156549e-01
3.743978389823787e-10	7.162243e-01
3.801893963205587e-10	7.167935e-01
3.860705432153788e-10	7.173623e-01
3.920426655270126e-10	7.179309e-01
3.981071705534946e-10	7.184991e-01
4.042654873623416e-10	7.190670e-01
4.105190671273051e-10	7.196347e-01
4.168693834703326e-10	7.202021e-01
4.233179328088179e-10	7.207692e-01
4.298662347082247e-10	7.213359e-01
4.365158322401629e-10	7.219025e-01
4.432682923460057e-10	7.224687e-01
4.501252062061304e-10	7.230347e-01
4.570881896148717e-10	7.236004e-01
4.641588833612745e-10	7.241659e-01
4.713389536157370e-10	7.247311e-01
4.786300923226348e-10	7.252960e-01
4.860340175990181e-10	7.258608e-01
4.935524741394769e-10	7.264252e-01
5.011872336272684e-10	7.269894e-01
5.089400951518050e-10	7.275534e-01
5.168128856325994e-10	7.281172e-01
5.248074602497685e-10	7.286807e-01
5.329257028811961e-10	7.292440e-01
5.411695265464593e-10	7.298071e-01
5.495408738576201e-10	7.303700e-01
5.580417174769919e-10	7.309326e-01
5.666740605819866e-10	7.314950e-01
5.754399373371521e-10	7.320573e-01
5.843414133735127e-10	7.326193e-01
5.933805862753229e-10	7.331811e-01
6.025595860743526e-10	7.337427e-01
6.118805757518166e-10	7.343041e-01
6.213457517480703e-10	7.348654e-01
6.309573444801877e-10	7.354264e-01
6.407176188675482e-10	7.359872e-01
6.506288748655514e-10	7.365479e-01
6.606934480075901e-10	7.371084e-01
6.709137099554051e-10	7.376688e-01
6.812920690579551e-10	7.382289e-01
6.918309709189301e-10	7.387888e-01
7.025328989730456e-10	7.393486e-01
7.134003750712496e-10	7.399082e-01
7.244359600749833e-10	7.404677e-01
7.356422544596344e-10	7.410269e-01
7.470218989273245e-10	7.415861e-01
7.585775750291766e-10	7.421450e-01
7.703120057972072e-10	7.427039e-01
7.822279563859951e-10	7.432625e-01
7.943282347242738e-10	7.438210e-01
8.066156921766055e-10	7.443793e-01
8.190932242152891e-10	7.449375e-01
8.317637711026626e-10	7.454956e-01
8.446303185839599e-10	7.460535e-01
8.576958985908853e-10	7.466113e-01
8.709635899560717e-10	7.471690e-01
8.844365191385906e-10	7.477264e-01
8.981178609606852e-10	7.482838e-01
9.120108393559002e-10	7.488410e-01
9.261187281287837e-10	7.493982e-01
9.404448517263417e-10	7.499551e-01
9.549925860214256e-10	7.505120e-01
9.697653591082388e-10	7.510687e-01
9.847666521101473e-10	7.516253e-01
9.999999999999889e-10	7.521818e-01
1.015468992433069e-09	7.527382e-01
1.031177274593044e-09	7.532944e-01
1.047128548050888e-09	7.538505e-01
1.063326571637149e-09	7.544066e-01
1.079775162327697e-09	7.549624e-01
1.096478196143172e-09	7.555183e-01
1.113439609062349e-09	7.560740e-01
1.130663397949626e-09	7.566295e-01
1.148153621496869e-09	7.571850e-01
1.165914401179818e-09	7.577403e-01
1.183949922229288e-09	7.582956e-01
1.202264434617399e-09	7.588508e-01
1.220862254059056e-09	7.594059e-01
1.239747763028929e-09	7.599608e-01
1.258925411794152e-09	7.605157e-01
1.278399719463008e-09	7.610704e-01
1.298175275049833e-09	7.616251e-01
1.318256738556391e-09	7.621797e-01
1.338648842069977e-09	7.627342e-01
1.359356390878509e-09	7.632886e-01
1.380384264602868e-09	7.638429e-01
1.401737418346752e-09	7.643971e-01
1.423420883864324e-09	7.649513e-01
1.445439770745909e-09	7.655054e-01
1.467799267622051e-09	7.660593e-01
1.490504643386177e-09	7.666132e-01
1.513561248436188e-09	7.671670e-01
1.536974515935251e-09	7.677208e-01
1.560749963092091e-09	7.682744e-01
1.584893192461093e-09	7.688280e-01
1.609409893262514e-09	7.693815e-01
1.634305842723116e-09	7.699350e-01
1.659586907437538e-09	7.704883e-01
1.685259044750729e-09	7.710416e-01
1.711328304161757e-09	7.715948e-01
1.737800828749352e-09	7.721479e-01
1.764682856619476e-09	7.727010e-01
1.791980722375309e-09	7.732540e-01
1.819700858609958e-09	7.738069e-01
1.847849797422265e-09	7.743598e-01
1.876434171956059e-09	7.749126e-01
1.905460717963220e-09	7.754653e-01
1.934936275390925e-09	7.760180e-01
1.964867789993440e-09	7.765706e-01
1.995262314968851e-09	7.771232e-01
2.026127012621114e-09	7.776756e-01
2.057469156047810e-09	7.782280e-01
2.089296130854009e-09	7.787804e-01
2.121615436892653e-09	7.793328e-01
2.154434690031852e-09	7.798850e-01
2.187761623949520e-09	7.804372e-01
2.221604091955778e-09	7.809893e-01
2.255970068843542e-09	7.815414e-01
2.290867652767739e-09	7.820934e-01
2.326305067153591e-09	7.826454e-01
2.362290662634426e-09	7.831973e-01
2.398832919019454e-09	7.837492e-01
2.435940447291990e-09	7.843010e-01
2.473621991638584e-09	7.848528e-01
2.511886431509541e-09	7.854045e-01
2.550742783711319e-09	7.859562e-01
2.590200204531283e-09	7.865078e-01
2.630267991895341e-09	7.870594e-01
2.670955587558943e-09	7.876109e-01
2.712272579331986e-09	7.881624e-01
2.754228703338123e-09	7.887139e-01
2.796833846309033e-09	7.892653e-01
2.840098047914170e-09	7.898166e-01
2.884031503126560e-09	7.903679e-01
2.928644564625189e-09	7.909192e-01
2.973947745234558e-09	7.914704e-01
3.019951720401967e-09	7.920216e-01
3.066667330713133e-09	7.925727e-01
3.114105584446709e-09	7.931238e-01
3.162277660168328e-09	7.936749e-01
3.211194909364770e-09	7.942259e-01
3.260868859118879e-09	7.947769e-01
3.311311214825856e-09	7.953278e-01
3.362533862951571e-09	7.958788e-01
3.414548873833545e-09	7.964296e-01
3.467368504525258e-09	7.969804e-01
3.521005201684460e-09	7.975312e-01
3.575471604506153e-09	7.980820e-01
3.630780547700951e-09	7.986327e-01
3.686945064519512e-09	7.991834e-01
3.743978389823747e-09	7.997341e-01
3.801893963205546e-09	8.002847e-01
3.860705432153746e-09	8.008353e-01
3.920426655270084e-09	8.013859e-01
3.981071705534904e-09	8.019364e-01
4.042654873623373e-09	8.024869e-01
4.105190671273007e-09	8.030374e-01
4.168693834703281e-09	8.035879e-01
4.233179328088133e-09	8.041382e-01
4.298662347082201e-09	8.046886e-01
4.365158322401582e-09	8.052390e-01
4.432682923460009e-09	8.057893e-01
4.501252062061256e-09	8.063396e-01
4.570881896148667e-09	8.068898e-01
4.641588833612694e-09	8.074401e-01
4.713389536157318e-09	8.079903e-01
4.786300923226295e-09	8.085405e-01
4.860340175990128e-09	8.090907e-01
4.935524741394715e-09	8.096408e-01
5.011872336272630e-09	8.101909e-01
5.089400951517994e-09	8.107409e-01
5.168128856325937e-09	8.112910e-01
5.248074602497627e-09	8.118411e-01
5.329257028811904e-09	8.123910e-01
5.411695265464534e-09	8.129411e-01
5.495408738576140e-09	8.134910e-01
5.580417174769857e-09	8.140410e-01
5.666740605819803e-09	8.145909e-01
5.754399373371459e-09	8.151408e-01
5.843414133735063e-09	8.156906e-01
5.933805862753164e-09	8.162405e-01
6.025595860743460e-09	8.167903e-01
6.118805757518100e-09	8.173401e-01
6.213457517480635e-09	8.178899e-01
6.309573444801808e-09	8.184397e-01
6.407176188675411e-09	8.189895e-01
6.506288748655443e-09	8.195392e-01
6.606934480075829e-09	8.200889e-01
6.709137099553978e-09	8.206385e-01
6.812920690579476e-09	8.211882e-01
6.918309709189226e-09	8.217379e-01
7.025328989730380e-09	8.222875e-01
7.134003750712418e-09	8.228371e-01
7.244359600749754e-09	8.233867e-01
7.356422544596264e-09	8.239363e-01
7.470218989273164e-09	8.244859e-01
7.585775750291682e-09	8.250354e-01
7.703120057971987e-09	8.255849e-01
7.822279563859864e-09	8.261344e-01
7.943282347242650e-09	8.266839e-01
8.066156921765965e-09	8.272334e-01
8.190932242152800e-09	8.277829e-01
8.317637711026535e-09	8.283324e-01
8.446303185839507e-09	8.288818e-01
8.576958985908760e-09	8.294312e-01
8.709635899560621e-09	8.299806e-01
8.844365191385808e-09	8.305300e-01
8.981178609606752e-09	8.310794e-01
9.120108393558900e-09	8.316287e-01
9.261187281287733e-09	8.321781e-01
9.404448517263312e-09	8.327274e-01
9.549925860214150e-09	8.332767e-01
9.697653591082279e-09	8.338260e-01
9.847666521101364e-09	8.343753e-01
9.999999999999779e-09	8.349246e-01
1.015468992433058e-08	8.354738e-01
1.031177274593032e-08	8.360231e-01
1.047128548050876e-08	8.365723e-01
1.063326571637137e-08	8.371215e-01
1.079775162327685e-08	8.376708e-01
1.096478196143160e-08	8.382200e-01
1.113439609062336e-08	8.387692e-01
1.130663397949613e-08	8.393183e-01
1.148153621496857e-08	8.398675e-01
1.165914401179805e-08	8.404167e-01
1.183949922229275e-08	8.409658e-01
1.202264434617385e-08	8.415149e-01
1.220862254059043e-08	8.420641e-01
1.239747763028916e-08	8.426132e-01
1.258925411794138e-08	8.431623e-01
1.278399719462994e-08	8.437114e-01
1.298175275049819e-08	8.442605e-01
1.318256738556376e-08	8.448095e-01
1.338648842069962e-08	8.453586e-01
1.359356390878494e-08	8.459076e-01
1.380384264602852e-08	8.464567e-01
1.401737418346737e-08	8.470057e-01
1.423420883864308e-08	8.475547e-01
1.445439770745893e-08	8.481038e-01
1.467799267622035e-08	8.486528e-01
1.490504643386161e-08	8.492018e-01
1.513561248436172e-08	8.497508e-01
1.536974515935235e-08	8.502997e-01
1.560749963092074e-08	8.508487e-01
1.584893192461075e-08	8.513977e-01
1.609409893262496e-08	8.519466e-01
1.634305842723098e-08	8.524956e-01
1.659586907437520e-08	8.530445e-01
1.685259044750710e-08	8.535934e-01
1.711328304161739e-08	8.541424e-01
1.737800828749333e-08	8.546913e-01
1.764682856619457e-08	8.552402e-01
1.791980722375289e-08	8.557891e-01
1.819700858609938e-08	8.563380e-01
1.847849797422245e-08	8.568869e-01
1.876434171956039e-08	8.574357e-01
1.905460717963200e-08	8.579846e-01
1.934936275390904e-08	8.585334e-01
1.964867789993418e-08	8.590823e-01
1.995262314968830e-08	8.596312e-01
2.026127012621093e-08	8.601800e-01
2.057469156047787e-08	8.607289e-01
2.089296130853987e-08	8.612777e-01
2.121615436892630e-08	8.618265e-01
2.154434690031829e-08	8.623753e-01
2.187761623949497e-08	8.629242e-01
2.221604091955754e-08	8.634729e-01
2.255970068843518e-08	8.640217e-01
2.290867652767714e-08	8.645705e-01
2.326305067153566e-08	8.651193e-01
2.362290662634400e-08	8.656681e-01
2.398832919019428e-08	8.662169e-01
2.435940447291963e-08	8.667656e-01
2.473621991638556e-08	8.673144e-01
2.511886431509514e-08	8.678632e-01
2.550742783711291e-08	8.684119e-01
2.590200204531255e-08	8.689607e-01
2.630267991895311e-08	8.695094e-01
2.670955587558913e-08	8.700582e-01
2.712272579331955e-08	8.706069e-01
2.754228703338092e-08	8.711556e-01
2.796833846309001e-08	8.717043e-01
2.840098047914138e-08	8.722531e-01
2.884031503126528e-08	8.728018e-01
2.928644564625157e-08	8.733505e-01
2.973947745234525e-08	8.738992e-01
3.019951720401933e-08	8.744479e-01
3.066667330713099e-08	8.749966e-01
3.114105584446674e-08	8.755453e-01
3.162277660168292e-08	8.760940e-01
3.211194909364734e-08	8.766426e-01
3.260868859118842e-08	8.771913e-01
3.311311214825818e-08	8.777400e-01
3.362533862951532e-08	8.782887e-01
3.414548873833506e-08	8.788373e-01
3.467368504525218e-08	8.793860e-01
3.521005201684420e-08	8.799347e-01
3.575471604506112e-08	8.804833e-01
3.630780547700910e-08	8.810320e-01
3.686945064519471e-08	8.815806e-01
3.743978389823705e-08	8.821293e-01
3.801893963205503e-08	8.826779e-01
3.860705432153703e-08	8.832265e-01
3.920426655270040e-08	8.837752e-01
3.981071705534858e-08	8.843238e-01
4.042654873623327e-08	8.848724e-01
4.105190671272961e-08	8.854210e-01
4.168693834703233e-08	8.859696e-01
4.233179328088086e-08	8.865183e-01
4.298662347082152e-08	8.870669e-01
4.365158322401532e-08	8.876155e-01
4.432682923459958e-08	8.881641e-01
4.501252062061204e-08	8.887127e-01
4.570881896148615e-08	8.892613e-01
4.641588833612642e-08	8.898099e-01
4.713389536157265e-08	8.903585e-01
4.786300923226241e-08	8.909071e-01
4.860340175990073e-08	8.914557e-01
4.935524741394659e-08	8.920043e-01
5.011872336272573e-08	8.925529e-01
5.089400951517937e-08	8.931015e-01
5.168128856325880e-08	8.936500e-01
5.248074602497568e-08	8.941986e-01
5.329257028811843e-08	8.947471e-01
5.411695265464473e-08	8.952957e-01
5.495408738576079e-08	8.958443e-01
5.580417174769795e-08	8.963929e-01
5.666740605819740e-08	8.969414e-01
5.754399373371394e-08	8.974900e-01
5.843414133734997e-08	8.980386e-01
5.933805862753097e-08	8.985871e-01
6.025595860743392e-08	8.991356e-01
6.118805757518030e-08	8.996842e-01
6.213457517480564e-08	9.002327e-01
6.309573444801736e-08	9.007813e-01
6.407176188675338e-08	9.013298e-01
6.506288748655368e-08	9.018784e-01
6.606934480075752e-08	9.024269e-01
6.709137099553901e-08	9.029754e-01
6.812920690579397e-08	9.035240e-01
6.918309709189145e-08	9.040725e-01
7.025328989730298e-08	9.046211e-01
7.134003750712335e-08	9.051696e-01
7.244359600749671e-08	9.057181e-01
7.356422544596179e-08	9.062666e-01
7.470218989273079e-08	9.068152e-01
7.585775750291596e-08	9.073637e-01
7.703120057971900e-08	9.079122e-01
7.822279563859776e-08	9.084607e-01
7.943282347242561e-08	9.090092e-01
8.066156921765876e-08	9.095578e-01
8.190932242152710e-08	9.101062e-01
8.317637711026443e-08	9.106548e-01
8.446303185839413e-08	9.112033e-01
8.576958985908665e-08	9.117518e-01
8.709635899560526e-08	9.123003e-01
8.844365191385711e-08	9.128488e-01
8.981178609606655e-08	9.133973e-01
9.120108393558801e-08	9.139458e-01
9.261187281287634e-08	9.144943e-01
9.404448517263211e-08	9.150428e-01
9.549925860214047e-08	9.155913e-01
9.697653591082176e-08	9.161398e-01
9.847666521101259e-08	9.166883e-01
9.999999999999671e-08	9.172368e-01
1.015468992433047e-07	9.177853e-01
1.031177274593021e-07	9.183338e-01
1.047128548050865e-07	9.188823e-01
1.063326571637126e-07	9.194307e-01
1.079775162327674e-07	9.199792e-01
1.096478196143148e-07	9.205277e-01
1.113439609062324e-07	9.210762e-01
1.130663397949601e-07	9.216247e-01
1.148153621496844e-07	9.221731e-01
1.165914401179792e-07	9.227216e-01
1.183949922229262e-07	9.232701e-01
1.202264434617372e-07	9.238186e-01
1.220862254059030e-07	9.243671e-01
1.239747763028902e-07	9.249156e-01
1.258925411794124e-07	9.254640e-01
1.278399719462980e-07	9.260125e-01
1.298175275049804e-07	9.265610e-01
1.318256738556362e-07	9.271094e-01
1.338648842069947e-07	9.276579e-01
1.359356390878478e-07	9.282064e-01
1.380384264602837e-07	9.287549e-01
1.401737418346721e-07	9.293033e-01
1.423420883864292e-07	9.298518e-01
1.445439770745877e-07	9.304003e-01
1.467799267622018e-07	9.309487e-01
1.490504643386144e-07	9.314972e-01
1.513561248436155e-07	9.320456e-01
1.536974515935217e-07	9.325941e-01
1.560749963092056e-07	9.331425e-01
1.584893192461057e-07	9.336910e-01
1.609409893262478e-07	9.342394e-01
1.634305842723079e-07	9.347879e-01
1.659586907437501e-07	9.353364e-01
1.685259044750691e-07	9.358848e-01
1.711328304161720e-07	9.364333e-01
1.737800828749313e-07	9.369817e-01
1.764682856619437e-07	9.375302e-01
1.791980722375269e-07	9.380786e-01
1.819700858609918e-07	9.386271e-01
1.847849797422224e-07	9.391755e-01
1.876434171956017e-07	9.397240e-01
1.905460717963178e-07	9.402725e-01
1.934936275390882e-07	9.408209e-01
1.964867789993396e-07	9.413694e-01
1.995262314968807e-07	9.419178e-01
2.026127012621070e-07	9.424663e-01
2.057469156047764e-07	9.430147e-01
2.089296130853963e-07	9.435632e-01
2.121615436892607e-07	9.441116e-01
2.154434690031805e-07	9.446600e-01
2.187761623949472e-07	9.452085e-01
2.221604091955730e-07	9.457569e-01
2.255970068843493e-07	9.463053e-01
2.290867652767688e-07	9.468538e-01
2.326305067153540e-07	9.474022e-01
2.362290662634374e-07	9.479507e-01
2.398832919019401e-07	9.484991e-01
2.435940447291936e-07	9.490476e-01
2.473621991638529e-07	9.495960e-01
2.511886431509486e-07	9.501445e-01
2.550742783711263e-07	9.506929e-01
2.590200204531227e-07	9.512413e-01
2.630267991895283e-07	9.517897e-01
2.670955587558884e-07	9.523382e-01
2.712272579331926e-07	9.528866e-01
2.754228703338063e-07	9.534351e-01
2.796833846308972e-07	9.539835e-01
2.840098047914108e-07	9.545319e-01
2.884031503126497e-07	9.550804e-01
2.928644564625126e-07	9.556288e-01
2.973947745234494e-07	9.561772e-01
3.019951720401902e-07	9.567257e-01
3.066667330713067e-07	9.572741e-01
3.114105584446642e-07	9.578225e-01
3.162277660168260e-07	9.583710e-01
3.211194909364701e-07	9.589194e-01
3.260868859118809e-07	9.594678e-01
3.311311214825785e-07	9.600163e-01
3.362533862951499e-07	9.605647e-01
3.414548873833471e-07	9.611131e-01
3.467368504525184e-07	9.616615e-01
3.521005201684384e-07	9.622099e-01
3.575471604506076e-07	9.627584e-01
3.630780547700873e-07	9.633068e-01
3.686945064519433e-07	9.638553e-01
3.743978389823666e-07	9.644037e-01
3.801893963205464e-07	9.649521e-01
3.860705432153663e-07	9.655005e-01
3.920426655270000e-07	9.660490e-01
3.981071705534817e-07	9.665974e-01
4.042654873623285e-07	9.671458e-01
