16:10:48.513 -> off_100ms,on_200ms,on_150ms,on_100ms,on_50ms,on_20ms,on_10ms
16:10:49.122 -> 11,599,454,307,159,67,41
16:10:49.778 -> 11,599,453,305,155,67,35
16:10:50.397 -> 7,599,452,305,157,67,35
16:10:51.007 -> 11,599,453,305,155,67,36
16:10:51.663 -> 10,599,454,306,156,66,36
16:10:52.273 -> 9,599,453,304,157,67,36
16:10:52.929 -> 6,599,453,306,158,67,36
16:10:53.569 -> 7,599,453,307,157,65,37
16:10:54.179 -> 6,600,454,305,157,67,36
16:10:54.835 -> 10,599,453,306,155,66,35
16:10:55.444 -> 6,599,454,306,157,64,35
16:10:56.101 -> 7,599,453,306,157,66,36
16:10:56.719 -> 9,599,453,306,157,66,37
16:10:57.329 -> 10,600,453,306,157,66,37
16:10:57.984 -> 10,599,453,306,155,65,37
16:10:58.609 -> 7,599,453,307,157,63,36
16:10:59.257 -> 9,599,454,305,157,66,38
16:10:59.856 -> 10,599,453,305,157,68,36
16:11:00.512 -> 11,599,454,306,158,67,35
16:11:01.121 -> 7,599,454,306,157,67,36
16:11:01.777 -> 8,599,453,306,156,66,35
16:11:02.386 -> 10,599,452,306,155,66,38
16:11:03.043 -> 6,599,455,305,156,66,36
16:11:03.651 -> 10,600,452,305,156,66,36
16:11:04.307 -> 9,599,453,305,157,64,34
16:11:04.918 -> 7,599,454,305,155,66,35
16:11:05.574 -> 8,598,454,306,156,63,37
16:11:06.184 -> 7,599,453,306,156,65,37
16:11:06.840 -> 7,600,452,306,157,66,37
16:11:07.449 -> 10,599,454,306,157,65,38
16:11:08.105 -> 10,599,453,304,155,66,37
16:11:08.714 -> 7,600,453,306,157,68,35
16:11:09.370 -> 7,598,453,306,156,66,35
16:11:09.979 -> 9,599,453,305,156,65,35
16:11:10.637 -> 10,600,453,306,156,66,35
16:11:11.246 -> 10,600,454,306,157,64,36
16:11:11.902 -> 7,598,452,305,155,67,36
16:11:12.512 -> 9,599,453,304,157,66,35
16:11:13.121 -> 10,600,453,306,158,66,37
16:11:13.777 -> 7,599,453,306,155,67,37
16:11:14.400 -> 6,600,453,306,156,67,37
16:11:15.010 -> 10,599,453,305,157,67,35
16:11:15.667 -> 8,600,455,305,158,67,35
16:11:16.276 -> 9,599,453,307,157,65,36
16:11:16.932 -> 10,599,453,306,156,67,37
16:11:17.542 -> 7,600,454,305,157,67,34
16:11:18.198 -> 6,599,453,307,157,66,37
16:11:18.807 -> 6,600,453,306,156,65,37
16:11:19.463 -> 9,600,454,305,157,67,37
16:11:20.067 -> 6,598,452,306,158,67,36
16:11:20.723 -> 7,599,454,306,156,67,36
16:11:21.370 -> 6,600,454,306,157,67,37
16:11:21.979 -> 7,598,453,305,157,68,36
16:11:22.588 -> 6,599,453,306,157,65,35
16:11:23.244 -> 10,598,453,306,156,66,37
16:11:23.884 -> 6,599,453,305,155,67,37
16:11:24.493 -> 9,599,454,306,157,66,35
16:11:25.149 -> 7,599,454,305,157,66,35
16:11:25.759 -> 10,599,453,305,156,67,37
16:11:26.415 -> 10,599,453,306,156,65,34
16:11:27.024 -> 7,600,453,306,157,67,35
16:11:27.680 -> 6,599,452,307,157,67,37
16:11:28.289 -> 9,599,453,307,156,66,36
16:11:28.940 -> 8,599,454,305,156,67,38
16:11:29.549 -> 6,599,452,305,157,67,37
16:11:30.205 -> 10,599,454,306,156,66,37
16:11:30.814 -> 7,599,454,306,156,67,34
16:11:31.470 -> 7,598,453,306,156,66,37
16:11:32.079 -> 10,599,454,305,156,67,37
16:11:32.706 -> 7,599,454,306,157,67,37
16:11:33.317 -> 10,599,453,306,157,66,36
16:11:33.956 -> 10,599,453,306,156,66,37
16:11:34.612 -> 9,599,453,307,156,66,36
16:11:35.221 -> 7,600,453,305,155,67,35
16:11:35.878 -> 9,599,453,305,157,67,36
16:11:36.487 -> 8,599,454,306,157,63,37
16:11:37.143 -> 6,599,454,305,157,67,37
16:11:37.752 -> 7,599,453,304,157,65,35
16:11:38.422 -> 6,598,454,307,159,66,36
16:11:39.033 -> 7,599,454,305,157,67,36
16:11:39.642 -> 7,599,452,306,156,66,36
16:11:40.298 -> 9,600,452,306,156,65,35
16:11:40.907 -> 6,600,454,306,156,66,37
16:11:41.563 -> 7,599,453,305,157,65,35
16:11:42.172 -> 7,599,453,306,156,66,38
16:11:42.816 -> 9,600,453,306,157,65,37
16:11:43.426 -> 8,599,454,305,157,67,35
16:11:44.082 -> 10,598,454,306,156,67,37
16:11:44.691 -> 10,600,454,306,157,68,35
16:11:45.347 -> 7,599,454,306,157,67,35
16:11:45.956 -> 7,599,454,306,156,67,37
16:11:46.613 -> 10,600,453,306,155,63,37
16:11:47.222 -> 6,600,454,306,157,67,35
