12:02:07.027 ->   Timestamp | Background value | Measured value | Final value 
12:02:07.074 -> ------------+------------------+----------------+-------------
12:02:07.168 ->  0000000065 |                0 |            696 |      0.6797
12:02:07.590 ->  0000000564 |                0 |            691 |      0.6748
12:02:08.105 ->  0000001064 |                0 |            692 |      0.6758
12:02:08.589 ->  0000001564 |                0 |            691 |      0.6748
12:02:09.104 ->  0000002063 |                0 |            692 |      0.6758
12:02:09.574 ->  0000002564 |                0 |            692 |      0.6758
12:02:10.089 ->  0000003064 |                0 |            691 |      0.6748
12:02:10.605 ->  0000003563 |                0 |            691 |      0.6748
12:02:11.073 ->  0000004063 |                0 |            692 |      0.6758
12:02:11.589 ->  0000004563 |                0 |            691 |      0.6748
12:02:12.092 ->  0000005062 |                0 |            692 |      0.6758
12:02:12.561 ->  0000005562 |                0 |            691 |      0.6748
12:02:13.076 ->  0000006063 |                0 |            691 |      0.6748
12:02:13.591 ->  0000006562 |                0 |            691 |      0.6748
12:02:14.107 ->  0000007062 |                0 |            691 |      0.6748
12:02:14.575 ->  0000007562 |                0 |            691 |      0.6748
12:02:15.091 ->  0000008062 |                0 |            691 |      0.6748
12:02:15.606 ->  0000008562 |                0 |            691 |      0.6748
12:02:16.075 ->  0000009062 |                0 |            691 |      0.6748
12:02:16.591 ->  0000009563 |                0 |            691 |      0.6748
12:02:17.059 ->  0000010063 |                0 |            691 |      0.6748
12:02:17.575 ->  0000010563 |                0 |            691 |      0.6748
12:02:18.090 ->  0000011063 |                0 |            692 |      0.6758
12:02:18.559 ->  0000011564 |                0 |            692 |      0.6758
12:02:19.074 ->  0000012064 |                0 |            691 |      0.6748
12:02:19.590 ->  0000012564 |                0 |            692 |      0.6758
12:02:20.058 ->  0000013065 |                0 |            692 |      0.6758
12:02:20.568 ->  0000013565 |                0 |            692 |      0.6758
12:02:21.084 ->  0000014065 |                0 |            693 |      0.6768
12:02:21.599 ->  0000014565 |                0 |            691 |      0.6748
12:02:22.068 ->  0000015066 |                0 |            690 |      0.6738
12:02:22.584 ->  0000015566 |                0 |            692 |      0.6758
12:02:23.053 ->  0000016066 |                0 |            691 |      0.6748
12:02:23.566 ->  0000016566 |                0 |            692 |      0.6758
12:02:24.083 ->  0000017067 |                0 |            691 |      0.6748
12:02:24.551 ->  0000017567 |                0 |            692 |      0.6758
12:02:25.067 ->  0000018067 |                0 |            692 |      0.6758
12:02:25.582 ->  0000018568 |                0 |            692 |      0.6758
12:02:26.098 ->  0000019068 |                0 |            691 |      0.6748
12:02:26.563 ->  0000019568 |                0 |            691 |      0.6748
12:02:27.079 ->  0000020068 |                0 |            691 |      0.6748
12:02:27.595 ->  0000020569 |                0 |            692 |      0.6758
12:02:28.063 ->  0000021068 |                0 |            691 |      0.6748
12:02:28.577 ->  0000021568 |                0 |            691 |      0.6748
12:02:29.047 ->  0000022068 |                0 |            692 |      0.6758
12:02:29.563 ->  0000022568 |                0 |            690 |      0.6738
12:02:30.078 ->  0000023068 |                0 |            691 |      0.6748
12:02:30.572 ->  0000023568 |                0 |            690 |      0.6738
12:02:31.041 ->  0000024069 |                0 |            691 |      0.6748
12:02:31.556 ->  0000024569 |                0 |            690 |      0.6738
12:02:32.072 ->  0000025069 |                0 |            692 |      0.6758
12:02:32.587 ->  0000025569 |                0 |            692 |      0.6758
12:02:33.056 ->  0000026070 |                0 |            691 |      0.6748
12:02:33.585 ->  0000026570 |                0 |            691 |      0.6748
12:02:34.055 ->  0000027070 |                0 |            692 |      0.6758
12:02:34.571 ->  0000027571 |                0 |            691 |      0.6748
12:02:35.040 ->  0000028071 |                0 |            691 |      0.6748
12:02:35.555 ->  0000028571 |                0 |            691 |      0.6748
12:02:36.071 ->  0000029071 |                0 |            691 |      0.6748
12:02:36.539 ->  0000029572 |                0 |            691 |      0.6748
12:02:37.072 ->  0000030072 |                0 |            691 |      0.6748
12:02:37.587 ->  0000030572 |                0 |            691 |      0.6748
12:02:38.054 ->  0000031072 |                0 |            691 |      0.6748
12:02:38.556 ->  0000031572 |                0 |            691 |      0.6748
12:02:39.072 ->  0000032072 |                0 |            691 |      0.6748
12:02:39.587 ->  0000032572 |                0 |            692 |      0.6758
12:02:40.056 ->  0000033073 |                0 |            690 |      0.6738
12:02:40.571 ->  0000033573 |                0 |            691 |      0.6748
12:02:41.040 ->  0000034073 |                0 |            693 |      0.6768
12:02:41.555 ->  0000034573 |                0 |            691 |      0.6748
12:02:42.070 ->  0000035074 |                0 |            692 |      0.6758
12:02:42.539 ->  0000035574 |                0 |            691 |      0.6748
12:02:43.055 ->  0000036074 |                0 |            691 |      0.6748
12:02:43.572 ->  0000036575 |                0 |            692 |      0.6758
12:02:44.041 ->  0000037075 |                0 |            691 |      0.6748
12:02:44.556 ->  0000037575 |                0 |            691 |      0.6748
12:02:45.072 ->  0000038075 |                0 |            692 |      0.6758
12:02:45.540 ->  0000038576 |                0 |            691 |      0.6748
12:02:46.056 ->  0000039075 |                0 |            692 |      0.6758
12:02:46.571 ->  0000039575 |                0 |            692 |      0.6758
12:02:47.040 ->  0000040075 |                0 |            692 |      0.6758
12:02:47.564 ->  0000040576 |                0 |            691 |      0.6748
12:02:48.033 ->  0000041076 |                0 |            692 |      0.6758
12:02:48.565 ->  0000041576 |                0 |            691 |      0.6748
12:02:49.033 ->  0000042077 |                0 |            692 |      0.6758
12:02:49.549 ->  0000042577 |                0 |            691 |      0.6748
12:02:50.064 ->  0000043077 |                0 |            692 |      0.6758
12:02:50.533 ->  0000043577 |                0 |            691 |      0.6748
12:02:51.029 ->  0000044078 |                0 |            691 |      0.6748
12:02:51.545 ->  0000044578 |                0 |            691 |      0.6748
12:02:52.062 ->  0000045078 |                0 |            692 |      0.6758
12:02:52.531 ->  0000045578 |                0 |            691 |      0.6748
12:02:53.047 ->  0000046078 |                0 |            691 |      0.6748
12:02:53.563 ->  0000046578 |                0 |            691 |      0.6748
12:02:54.067 ->  0000047078 |                0 |            691 |      0.6748
12:02:54.537 ->  0000047579 |                0 |            691 |      0.6748
12:02:55.052 ->  0000048079 |                0 |            691 |      0.6748
12:02:55.568 ->  0000048579 |                0 |            692 |      0.6758
12:02:56.034 ->  0000049079 |                0 |            692 |      0.6758
12:02:56.550 ->  0000049580 |                0 |            691 |      0.6748
12:02:57.018 ->  0000050080 |                0 |            691 |      0.6748
12:02:57.549 ->  0000050580 |                0 |            691 |      0.6748
12:02:58.066 ->  0000051081 |                0 |            691 |      0.6748
12:02:58.534 ->  0000051581 |                0 |            691 |      0.6748
12:02:59.049 ->  0000052081 |                0 |            691 |      0.6748
12:02:59.565 ->  0000052581 |                0 |            692 |      0.6758
12:03:00.069 ->  0000053082 |                0 |            691 |      0.6748
12:03:00.538 ->  0000053582 |                0 |            691 |      0.6748
12:03:01.054 ->  0000054082 |                0 |            690 |      0.6738
12:03:01.561 ->  0000054582 |                0 |            691 |      0.6748
12:03:02.030 ->  0000055083 |                0 |            690 |      0.6738
12:03:02.545 ->  0000055582 |                0 |            692 |      0.6758
12:03:03.013 ->  0000056082 |                0 |            690 |      0.6738
12:03:03.529 ->  0000056583 |                0 |            691 |      0.6748
12:03:04.045 ->  0000057083 |                0 |            690 |      0.6738
12:03:04.561 ->  0000057583 |                0 |            691 |      0.6748
12:03:05.029 ->  0000058083 |                0 |            691 |      0.6748
12:03:05.545 ->  0000058584 |                0 |            691 |      0.6748
12:03:06.028 ->  0000059084 |                0 |            692 |      0.6758
12:03:06.544 ->  0000059584 |                0 |            691 |      0.6748
12:03:07.013 ->  0000060084 |                0 |            691 |      0.6748
12:03:07.528 ->  0000060584 |                0 |            692 |      0.6758
12:03:08.044 ->  0000061084 |                0 |            690 |      0.6738
12:03:08.559 ->  0000061584 |                0 |            691 |      0.6748
12:03:09.028 ->  0000062085 |                0 |            692 |      0.6758
12:03:09.543 ->  0000062585 |                0 |            691 |      0.6748
12:03:10.027 ->  0000063085 |                0 |            691 |      0.6748
12:03:10.542 ->  0000063585 |                0 |            692 |      0.6758
12:03:11.038 ->  0000064086 |                0 |            691 |      0.6748
12:03:11.546 ->  0000064586 |                0 |            691 |      0.6748
12:03:12.046 ->  0000065086 |                0 |            692 |      0.6758
12:03:12.515 ->  0000065587 |                0 |            691 |      0.6748
12:03:13.032 ->  0000066086 |                1 |            692 |      0.6738
12:03:13.547 ->  0000066586 |                0 |            691 |      0.6748
12:03:14.016 ->  0000067086 |                0 |            692 |      0.6758
12:03:14.534 ->  0000067587 |                0 |            691 |      0.6748
12:03:15.050 ->  0000068087 |                0 |            692 |      0.6758
12:03:15.518 ->  0000068587 |                0 |            690 |      0.6738
12:03:16.033 ->  0000069087 |                0 |            691 |      0.6748
12:03:16.547 ->  0000069587 |                0 |            692 |      0.6758
12:03:17.005 ->  0000070087 |                0 |            691 |      0.6748
12:03:17.521 ->  0000070587 |                0 |            691 |      0.6748
12:03:18.036 ->  0000071088 |                0 |            691 |      0.6748
12:03:18.505 ->  0000071588 |                0 |            690 |      0.6738
12:03:19.021 ->  0000072088 |                0 |            692 |      0.6758
12:03:19.538 ->  0000072588 |                0 |            691 |      0.6748
12:03:20.054 ->  0000073089 |                0 |            692 |      0.6758
12:03:20.522 ->  0000073589 |                0 |            691 |      0.6748
12:03:21.038 ->  0000074089 |                0 |            692 |      0.6758
12:03:21.553 ->  0000074590 |                0 |            691 |      0.6748
12:03:22.022 ->  0000075090 |                0 |            691 |      0.6748
12:03:22.537 ->  0000075590 |                0 |            691 |      0.6748
12:03:23.006 ->  0000076090 |                0 |            690 |      0.6738
12:03:23.522 ->  0000076591 |                0 |            691 |      0.6748
12:03:24.037 ->  0000077091 |                0 |            691 |      0.6748
12:03:24.506 ->  0000077591 |                0 |            691 |      0.6748
12:03:25.021 ->  0000078091 |                0 |            691 |      0.6748
12:03:25.537 ->  0000078592 |                0 |            692 |      0.6758
12:03:26.006 ->  0000079092 |                0 |            692 |      0.6758
12:03:26.521 ->  0000079592 |                0 |            691 |      0.6748
12:03:27.037 ->  0000080093 |                0 |            692 |      0.6758
12:03:27.505 ->  0000080593 |                0 |            692 |      0.6758
12:03:28.010 ->  0000081092 |                0 |            692 |      0.6758
12:03:28.525 ->  0000081592 |                0 |            691 |      0.6748
12:03:28.994 ->  0000082093 |                0 |            692 |      0.6758
12:03:29.509 ->  0000082593 |                0 |            691 |      0.6748
12:03:30.039 ->  0000083093 |                0 |            691 |      0.6748
12:03:30.508 ->  0000083593 |                0 |            691 |      0.6748
12:03:31.012 ->  0000084093 |                0 |            691 |      0.6748
12:03:31.527 ->  0000084593 |                0 |            691 |      0.6748
12:03:31.997 ->  0000085093 |                0 |            692 |      0.6758
12:03:32.512 ->  0000085594 |                0 |            691 |      0.6748
12:03:33.028 ->  0000086094 |                0 |            692 |      0.6758
12:03:33.543 ->  0000086594 |                0 |            692 |      0.6758
12:03:34.012 ->  0000087094 |                0 |            691 |      0.6748
12:03:34.528 ->  0000087595 |                0 |            691 |      0.6748
12:03:35.028 ->  0000088095 |                0 |            691 |      0.6748
12:03:35.543 ->  0000088595 |                0 |            691 |      0.6748
12:03:36.012 ->  0000089096 |                0 |            692 |      0.6758
12:03:36.527 ->  0000089596 |                0 |            691 |      0.6748
12:03:36.996 ->  0000090096 |                0 |            692 |      0.6758
12:03:37.502 ->  0000090596 |                0 |            692 |      0.6758
12:03:38.019 ->  0000091097 |                0 |            692 |      0.6758
12:03:38.488 ->  0000091596 |                0 |            692 |      0.6758
